"exercise_name";"type_of_activity";"type_of_equipment";"body_part";"type";"muscle_groups_activated";"instructions"
"Lunges";"Warm-up";"Pull-Up Bar";"Upper Body";"Pull";"Abs, Rear Deltoids, Biceps";"Pull the pull-up bar towards you using your Abs, Rear Deltoids, Biceps, and return to the starting position with control."
"Plank";"Warm-up";"Bodyweight";"Core";"Static";"Hamstrings, Hip Flexors";"Hold the position steadily, ensuring your Hamstrings, Hip Flexors remain activated without losing alignment."
"Burpees";"Strength";"Kettlebells";"Core";"Pull";"Glutes, Rear Deltoids, Lats, Hip Flexors";"Pull the kettlebells towards you using your Glutes, Rear Deltoids, Lats, Hip Flexors, and return to the starting position with control."
"Bench Press";"Strength";"None";"Full Body";"Hold";"Core, Biceps";"Maintain a stable position, keeping your Core, Biceps engaged throughout the duration."
"Resistance Band Pull";"Cardio";"Medicine Ball";"Full Body";"Push";"Biceps, Abs";"Perform the movement by engaging your Biceps, Abs and keeping proper form. Avoid overextending."
"Plank";"Warm-up";"None";"Upper Body";"Hold";"Lower Back, Chest";"Maintain a stable position, keeping your Lower Back, Chest engaged throughout the duration."
"Burpees";"Mobility";"Cable Machine";"Core";"Static";"Quadriceps, Lats";"Hold the position steadily, ensuring your Quadriceps, Lats remain activated without losing alignment."
"Bicep Curls";"Strength";"Dumbbells";"Full Body";"Hold";"Triceps, Core";"Maintain a stable position, keeping your Triceps, Core engaged throughout the duration."
"Bicep Curls";"Strength";"Bodyweight";"Full Body";"Static";"Lower Back, Core, Triceps, Hip Flexors";"Hold the position steadily, ensuring your Lower Back, Core, Triceps, Hip Flexors remain activated without losing alignment."
"Overhead Press";"Warm-up";"Dumbbells";"Full Body";"Push";"Lower Back, Hamstrings";"Perform the movement by engaging your Lower Back, Hamstrings and keeping proper form. Avoid overextending."
"Wall Sit";"Cardio";"Dumbbells";"Core";"Hold";"Quadriceps, Abs";"Maintain a stable position, keeping your Quadriceps, Abs engaged throughout the duration."
"Russian Twists";"Strength";"Medicine Ball";"Lower Body";"Pull";"Forearms, Lower Back, Biceps";"Pull the medicine ball towards you using your Forearms, Lower Back, Biceps, and return to the starting position with control."
"Lunges";"Strength";"Barbell";"Core";"Static";"Hip Flexors, Forearms, Lats";"Hold the position steadily, ensuring your Hip Flexors, Forearms, Lats remain activated without losing alignment."
"Bicep Curls";"Strength";"Dumbbells";"Lower Body";"Hold";"Glutes, Forearms";"Maintain a stable position, keeping your Glutes, Forearms engaged throughout the duration."
"Russian Twists";"Mobility";"Bodyweight";"Lower Body";"Static";"Chest, Forearms, Hip Flexors, Hamstrings, Traps";"Hold the position steadily, ensuring your Chest, Forearms, Hip Flexors, Hamstrings, Traps remain activated without losing alignment."
"Mountain Climbers";"Warm-up";"None";"Core";"Pull";"Core, Forearms, Triceps, Chest";"Pull the your body towards you using your Core, Forearms, Triceps, Chest, and return to the starting position with control."
"Wall Sit";"Warm-up";"Barbell";"Lower Body";"Hold";"Core, Glutes, Hamstrings, Abs";"Maintain a stable position, keeping your Core, Glutes, Hamstrings, Abs engaged throughout the duration."
"Leg Raises";"Strength";"Dumbbells";"Lower Body";"Pull";"Rear Deltoids, Glutes, Traps";"Pull the dumbbells towards you using your Rear Deltoids, Glutes, Traps, and return to the starting position with control."
"Bench Press";"Strength";"Kettlebells";"Full Body";"Pull";"Forearms, Triceps, Abs";"Pull the kettlebells towards you using your Forearms, Triceps, Abs, and return to the starting position with control."
"Plank";"Cardio";"Pull-Up Bar";"Full Body";"Hold";"Lats, Triceps, Shoulders, Hamstrings";"Maintain a stable position, keeping your Lats, Triceps, Shoulders, Hamstrings engaged throughout the duration."
"Leg Raises";"Strength";"Resistance Band";"Full Body";"Hold";"Hip Flexors, Biceps, Lower Back, Triceps";"Maintain a stable position, keeping your Hip Flexors, Biceps, Lower Back, Triceps engaged throughout the duration."
"Kettlebell Swings";"Mobility";"Medicine Ball";"Lower Body";"Push";"Traps, Hamstrings, Abs, Biceps";"Perform the movement by engaging your Traps, Hamstrings, Abs, Biceps and keeping proper form. Avoid overextending."
"Resistance Band Pull";"Cardio";"Resistance Band";"Upper Body";"Hold";"Biceps, Chest, Hamstrings, Shoulders, Hip Flexors";"Maintain a stable position, keeping your Biceps, Chest, Hamstrings, Shoulders, Hip Flexors engaged throughout the duration."
"Push-Ups";"Strength";"Barbell";"Full Body";"Pull";"Chest, Rear Deltoids";"Pull the barbell towards you using your Chest, Rear Deltoids, and return to the starting position with control."
"Overhead Press";"Cardio";"Cable Machine";"Lower Body";"Static";"Shoulders, Biceps, Abs, Glutes";"Hold the position steadily, ensuring your Shoulders, Biceps, Abs, Glutes remain activated without losing alignment."
"Lunges";"Mobility";"Resistance Band";"Lower Body";"Push";"Triceps, Chest";"Perform the movement by engaging your Triceps, Chest and keeping proper form. Avoid overextending."
"Plank";"Warm-up";"Bodyweight";"Lower Body";"Hold";"Quadriceps, Hip Flexors";"Maintain a stable position, keeping your Quadriceps, Hip Flexors engaged throughout the duration."
"Deadlifts";"Warm-up";"Pull-Up Bar";"Upper Body";"Static";"Core, Rear Deltoids, Glutes";"Hold the position steadily, ensuring your Core, Rear Deltoids, Glutes remain activated without losing alignment."
"Dumbbell Rows";"Mobility";"Bodyweight";"Upper Body";"Pull";"Biceps, Shoulders, Forearms, Lower Back, Abs";"Pull the bodyweight towards you using your Biceps, Shoulders, Forearms, Lower Back, Abs, and return to the starting position with control."
"Bicep Curls";"Strength";"Bodyweight";"Lower Body";"Push";"Chest, Core, Hip Flexors, Hamstrings, Biceps";"Perform the movement by engaging your Chest, Core, Hip Flexors, Hamstrings, Biceps and keeping proper form. Avoid overextending."
"Kettlebell Swings";"Cardio";"Kettlebells";"Lower Body";"Pull";"Chest, Triceps, Lower Back";"Pull the kettlebells towards you using your Chest, Triceps, Lower Back, and return to the starting position with control."
"Wall Sit";"Warm-up";"Medicine Ball";"Core";"Pull";"Lower Back, Lats";"Pull the medicine ball towards you using your Lower Back, Lats, and return to the starting position with control."
"Dumbbell Rows";"Strength";"Medicine Ball";"Lower Body";"Static";"Core, Traps, Biceps, Hip Flexors, Abs";"Hold the position steadily, ensuring your Core, Traps, Biceps, Hip Flexors, Abs remain activated without losing alignment."
"Mountain Climbers";"Mobility";"Pull-Up Bar";"Core";"Pull";"Forearms, Chest, Lower Back";"Pull the pull-up bar towards you using your Forearms, Chest, Lower Back, and return to the starting position with control."
"Lunges";"Strength";"Barbell";"Upper Body";"Static";"Traps, Chest";"Hold the position steadily, ensuring your Traps, Chest remain activated without losing alignment."
"Push-Ups";"Cardio";"Dumbbells";"Core";"Pull";"Shoulders, Quadriceps";"Pull the dumbbells towards you using your Shoulders, Quadriceps, and return to the starting position with control."
"Dumbbell Rows";"Strength";"Resistance Band";"Upper Body";"Push";"Abs, Rear Deltoids";"Perform the movement by engaging your Abs, Rear Deltoids and keeping proper form. Avoid overextending."
"Overhead Press";"Mobility";"Kettlebells";"Core";"Push";"Lats, Glutes, Abs";"Perform the movement by engaging your Lats, Glutes, Abs and keeping proper form. Avoid overextending."
"Squats";"Strength";"Cable Machine";"Lower Body";"Push";"Lower Back, Traps, Shoulders";"Perform the movement by engaging your Lower Back, Traps, Shoulders and keeping proper form. Avoid overextending."
"Bench Press";"Mobility";"Cable Machine";"Lower Body";"Static";"Rear Deltoids, Abs, Triceps, Quadriceps";"Hold the position steadily, ensuring your Rear Deltoids, Abs, Triceps, Quadriceps remain activated without losing alignment."
"Mountain Climbers";"Mobility";"Barbell";"Upper Body";"Static";"Hamstrings, Biceps, Chest, Triceps, Glutes";"Hold the position steadily, ensuring your Hamstrings, Biceps, Chest, Triceps, Glutes remain activated without losing alignment."
"Plank";"Mobility";"Barbell";"Core";"Pull";"Rear Deltoids, Traps";"Pull the barbell towards you using your Rear Deltoids, Traps, and return to the starting position with control."
"Plank";"Strength";"Medicine Ball";"Upper Body";"Pull";"Shoulders, Core, Hamstrings, Quadriceps, Abs";"Pull the medicine ball towards you using your Shoulders, Core, Hamstrings, Quadriceps, Abs, and return to the starting position with control."
"Jumping Jacks";"Warm-up";"Barbell";"Full Body";"Pull";"Triceps, Lower Back, Lats, Hamstrings, Shoulders";"Pull the barbell towards you using your Triceps, Lower Back, Lats, Hamstrings, Shoulders, and return to the starting position with control."
"Mountain Climbers";"Strength";"Bodyweight";"Full Body";"Push";"Shoulders, Quadriceps, Biceps";"Perform the movement by engaging your Shoulders, Quadriceps, Biceps and keeping proper form. Avoid overextending."
"Burpees";"Mobility";"Pull-Up Bar";"Full Body";"Pull";"Rear Deltoids, Lats";"Pull the pull-up bar towards you using your Rear Deltoids, Lats, and return to the starting position with control."
"Dumbbell Rows";"Warm-up";"None";"Core";"Static";"Triceps, Lats";"Hold the position steadily, ensuring your Triceps, Lats remain activated without losing alignment."
"Russian Twists";"Warm-up";"Cable Machine";"Full Body";"Push";"Triceps, Abs, Shoulders, Biceps";"Perform the movement by engaging your Triceps, Abs, Shoulders, Biceps and keeping proper form. Avoid overextending."
"Bicep Curls";"Cardio";"Bodyweight";"Full Body";"Hold";"Traps, Biceps, Forearms, Lats";"Maintain a stable position, keeping your Traps, Biceps, Forearms, Lats engaged throughout the duration."
"Lunges";"Strength";"Barbell";"Upper Body";"Push";"Lower Back, Glutes, Forearms, Biceps, Hip Flexors";"Perform the movement by engaging your Lower Back, Glutes, Forearms, Biceps, Hip Flexors and keeping proper form. Avoid overextending."
"Jumping Jacks";"Warm-up";"Dumbbells";"Core";"Push";"Shoulders, Chest, Lower Back, Core, Abs";"Perform the movement by engaging your Shoulders, Chest, Lower Back, Core, Abs and keeping proper form. Avoid overextending."
"Bicep Curls";"Warm-up";"Pull-Up Bar";"Core";"Hold";"Glutes, Abs, Hip Flexors, Traps, Rear Deltoids";"Maintain a stable position, keeping your Glutes, Abs, Hip Flexors, Traps, Rear Deltoids engaged throughout the duration."
"Wall Sit";"Mobility";"Bodyweight";"Lower Body";"Pull";"Lats, Lower Back, Rear Deltoids";"Pull the bodyweight towards you using your Lats, Lower Back, Rear Deltoids, and return to the starting position with control."
"Squats";"Mobility";"Kettlebells";"Core";"Static";"Lower Back, Lats, Triceps, Abs, Shoulders";"Hold the position steadily, ensuring your Lower Back, Lats, Triceps, Abs, Shoulders remain activated without losing alignment."
"Overhead Press";"Warm-up";"Barbell";"Full Body";"Pull";"Core, Quadriceps, Chest, Hip Flexors, Lower Back";"Pull the barbell towards you using your Core, Quadriceps, Chest, Hip Flexors, Lower Back, and return to the starting position with control."
"Bench Press";"Strength";"Pull-Up Bar";"Full Body";"Static";"Traps, Shoulders, Glutes";"Hold the position steadily, ensuring your Traps, Shoulders, Glutes remain activated without losing alignment."
"Bench Press";"Strength";"Dumbbells";"Core";"Hold";"Shoulders, Traps, Abs, Triceps, Hip Flexors";"Maintain a stable position, keeping your Shoulders, Traps, Abs, Triceps, Hip Flexors engaged throughout the duration."
"Bench Press";"Warm-up";"Resistance Band";"Core";"Hold";"Hamstrings, Triceps";"Maintain a stable position, keeping your Hamstrings, Triceps engaged throughout the duration."
"Pull-Ups";"Mobility";"Kettlebells";"Lower Body";"Pull";"Shoulders, Traps, Forearms";"Pull the kettlebells towards you using your Shoulders, Traps, Forearms, and return to the starting position with control."
"Kettlebell Swings";"Strength";"Pull-Up Bar";"Lower Body";"Push";"Hip Flexors, Hamstrings, Triceps, Lats, Core";"Perform the movement by engaging your Hip Flexors, Hamstrings, Triceps, Lats, Core and keeping proper form. Avoid overextending."
"Plank";"Cardio";"Bodyweight";"Lower Body";"Hold";"Glutes, Triceps, Traps";"Maintain a stable position, keeping your Glutes, Triceps, Traps engaged throughout the duration."
"Dumbbell Rows";"Cardio";"Cable Machine";"Lower Body";"Hold";"Glutes, Chest, Hip Flexors, Quadriceps, Lower Back";"Maintain a stable position, keeping your Glutes, Chest, Hip Flexors, Quadriceps, Lower Back engaged throughout the duration."
"Jumping Jacks";"Cardio";"None";"Upper Body";"Pull";"Hip Flexors, Biceps, Lats, Quadriceps";"Pull the your body towards you using your Hip Flexors, Biceps, Lats, Quadriceps, and return to the starting position with control."
"Lunges";"Cardio";"None";"Upper Body";"Pull";"Glutes, Traps, Hip Flexors";"Pull the your body towards you using your Glutes, Traps, Hip Flexors, and return to the starting position with control."
"Burpees";"Cardio";"Cable Machine";"Lower Body";"Static";"Traps, Glutes, Chest, Triceps, Quadriceps";"Hold the position steadily, ensuring your Traps, Glutes, Chest, Triceps, Quadriceps remain activated without losing alignment."
"Burpees";"Warm-up";"Pull-Up Bar";"Full Body";"Static";"Lats, Abs, Hip Flexors, Lower Back, Shoulders";"Hold the position steadily, ensuring your Lats, Abs, Hip Flexors, Lower Back, Shoulders remain activated without losing alignment."
"Kettlebell Swings";"Warm-up";"Bodyweight";"Lower Body";"Static";"Abs, Traps";"Hold the position steadily, ensuring your Abs, Traps remain activated without losing alignment."
"Burpees";"Warm-up";"Cable Machine";"Core";"Push";"Core, Biceps";"Perform the movement by engaging your Core, Biceps and keeping proper form. Avoid overextending."
"Kettlebell Swings";"Strength";"Pull-Up Bar";"Lower Body";"Static";"Rear Deltoids, Quadriceps, Biceps, Lats, Forearms";"Hold the position steadily, ensuring your Rear Deltoids, Quadriceps, Biceps, Lats, Forearms remain activated without losing alignment."
"Side Plank";"Cardio";"None";"Full Body";"Push";"Traps, Core, Lower Back, Quadriceps";"Perform the movement by engaging your Traps, Core, Lower Back, Quadriceps and keeping proper form. Avoid overextending."
"Leg Raises";"Warm-up";"Cable Machine";"Full Body";"Push";"Hamstrings, Quadriceps, Shoulders, Hip Flexors";"Perform the movement by engaging your Hamstrings, Quadriceps, Shoulders, Hip Flexors and keeping proper form. Avoid overextending."
"Bicep Curls";"Mobility";"Resistance Band";"Core";"Static";"Abs, Chest";"Hold the position steadily, ensuring your Abs, Chest remain activated without losing alignment."
"Deadlifts";"Strength";"Pull-Up Bar";"Core";"Pull";"Shoulders, Glutes, Lower Back, Triceps";"Pull the pull-up bar towards you using your Shoulders, Glutes, Lower Back, Triceps, and return to the starting position with control."
"Kettlebell Swings";"Warm-up";"Bodyweight";"Full Body";"Pull";"Chest, Shoulders, Quadriceps";"Pull the bodyweight towards you using your Chest, Shoulders, Quadriceps, and return to the starting position with control."
"Plank";"Cardio";"Barbell";"Lower Body";"Pull";"Lats, Triceps, Hip Flexors, Core";"Pull the barbell towards you using your Lats, Triceps, Hip Flexors, Core, and return to the starting position with control."
"Burpees";"Mobility";"Bodyweight";"Upper Body";"Pull";"Shoulders, Rear Deltoids, Triceps";"Pull the bodyweight towards you using your Shoulders, Rear Deltoids, Triceps, and return to the starting position with control."
"Side Plank";"Strength";"Dumbbells";"Core";"Hold";"Lower Back, Lats, Traps, Biceps, Quadriceps";"Maintain a stable position, keeping your Lower Back, Lats, Traps, Biceps, Quadriceps engaged throughout the duration."
"Mountain Climbers";"Mobility";"Barbell";"Lower Body";"Static";"Forearms, Triceps";"Hold the position steadily, ensuring your Forearms, Triceps remain activated without losing alignment."
"Jumping Jacks";"Warm-up";"Kettlebells";"Lower Body";"Pull";"Biceps, Hip Flexors, Lats, Forearms";"Pull the kettlebells towards you using your Biceps, Hip Flexors, Lats, Forearms, and return to the starting position with control."
"Russian Twists";"Mobility";"Medicine Ball";"Lower Body";"Static";"Core, Rear Deltoids, Glutes";"Hold the position steadily, ensuring your Core, Rear Deltoids, Glutes remain activated without losing alignment."
"Dumbbell Rows";"Mobility";"Bodyweight";"Upper Body";"Pull";"Lower Back, Core";"Pull the bodyweight towards you using your Lower Back, Core, and return to the starting position with control."
"Squats";"Cardio";"Cable Machine";"Full Body";"Static";"Core, Biceps, Chest";"Hold the position steadily, ensuring your Core, Biceps, Chest remain activated without losing alignment."
"Russian Twists";"Strength";"None";"Full Body";"Push";"Hip Flexors, Shoulders";"Perform the movement by engaging your Hip Flexors, Shoulders and keeping proper form. Avoid overextending."
"Wall Sit";"Mobility";"Pull-Up Bar";"Lower Body";"Pull";"Traps, Abs";"Pull the pull-up bar towards you using your Traps, Abs, and return to the starting position with control."
"Mountain Climbers";"Strength";"Pull-Up Bar";"Lower Body";"Push";"Core, Lower Back, Rear Deltoids, Glutes";"Perform the movement by engaging your Core, Lower Back, Rear Deltoids, Glutes and keeping proper form. Avoid overextending."
"Resistance Band Pull";"Warm-up";"Barbell";"Lower Body";"Static";"Abs, Glutes, Chest";"Hold the position steadily, ensuring your Abs, Glutes, Chest remain activated without losing alignment."
"Resistance Band Pull";"Warm-up";"Barbell";"Full Body";"Static";"Glutes, Biceps, Shoulders, Hamstrings";"Hold the position steadily, ensuring your Glutes, Biceps, Shoulders, Hamstrings remain activated without losing alignment."
"Plank";"Warm-up";"Dumbbells";"Upper Body";"Push";"Shoulders, Quadriceps, Hip Flexors, Rear Deltoids";"Perform the movement by engaging your Shoulders, Quadriceps, Hip Flexors, Rear Deltoids and keeping proper form. Avoid overextending."
"Dumbbell Rows";"Strength";"Kettlebells";"Lower Body";"Push";"Rear Deltoids, Lats, Chest, Triceps";"Perform the movement by engaging your Rear Deltoids, Lats, Chest, Triceps and keeping proper form. Avoid overextending."
"Deadlifts";"Strength";"Kettlebells";"Lower Body";"Hold";"Triceps, Shoulders, Abs, Lats, Glutes";"Maintain a stable position, keeping your Triceps, Shoulders, Abs, Lats, Glutes engaged throughout the duration."
"Leg Raises";"Strength";"Kettlebells";"Full Body";"Hold";"Hip Flexors, Chest";"Maintain a stable position, keeping your Hip Flexors, Chest engaged throughout the duration."
"Russian Twists";"Mobility";"Cable Machine";"Lower Body";"Hold";"Chest, Traps";"Maintain a stable position, keeping your Chest, Traps engaged throughout the duration."
"Plank";"Mobility";"Cable Machine";"Full Body";"Pull";"Forearms, Traps, Lats";"Pull the cable machine towards you using your Forearms, Traps, Lats, and return to the starting position with control."
"Tricep Dips";"Cardio";"Dumbbells";"Lower Body";"Push";"Triceps, Shoulders, Traps, Quadriceps";"Perform the movement by engaging your Triceps, Shoulders, Traps, Quadriceps and keeping proper form. Avoid overextending."
"Resistance Band Pull";"Warm-up";"Kettlebells";"Upper Body";"Pull";"Forearms, Shoulders";"Pull the kettlebells towards you using your Forearms, Shoulders, and return to the starting position with control."
"Russian Twists";"Strength";"Pull-Up Bar";"Upper Body";"Pull";"Traps, Hamstrings";"Pull the pull-up bar towards you using your Traps, Hamstrings, and return to the starting position with control."
"Push-Ups";"Warm-up";"Medicine Ball";"Upper Body";"Pull";"Lats, Biceps, Quadriceps, Lower Back";"Pull the medicine ball towards you using your Lats, Biceps, Quadriceps, Lower Back, and return to the starting position with control."
"Bench Press";"Cardio";"Kettlebells";"Full Body";"Hold";"Hip Flexors, Chest, Triceps, Shoulders, Rear Deltoids";"Maintain a stable position, keeping your Hip Flexors, Chest, Triceps, Shoulders, Rear Deltoids engaged throughout the duration."
"Overhead Press";"Mobility";"Bodyweight";"Core";"Push";"Rear Deltoids, Chest, Core, Forearms, Glutes";"Perform the movement by engaging your Rear Deltoids, Chest, Core, Forearms, Glutes and keeping proper form. Avoid overextending."
"Resistance Band Pull";"Mobility";"Cable Machine";"Core";"Push";"Triceps, Forearms, Biceps";"Perform the movement by engaging your Triceps, Forearms, Biceps and keeping proper form. Avoid overextending."
"Lunges";"Cardio";"Cable Machine";"Full Body";"Hold";"Hamstrings, Quadriceps, Chest";"Maintain a stable position, keeping your Hamstrings, Quadriceps, Chest engaged throughout the duration."
"Kettlebell Swings";"Cardio";"Pull-Up Bar";"Core";"Push";"Core, Rear Deltoids";"Perform the movement by engaging your Core, Rear Deltoids and keeping proper form. Avoid overextending."
"Mountain Climbers";"Mobility";"Kettlebells";"Upper Body";"Pull";"Lats, Lower Back, Forearms, Chest, Core";"Pull the kettlebells towards you using your Lats, Lower Back, Forearms, Chest, Core, and return to the starting position with control."
"Tricep Dips";"Warm-up";"None";"Core";"Pull";"Traps, Rear Deltoids, Glutes";"Pull the your body towards you using your Traps, Rear Deltoids, Glutes, and return to the starting position with control."
"Wall Sit";"Cardio";"Pull-Up Bar";"Upper Body";"Static";"Biceps, Rear Deltoids, Quadriceps";"Hold the position steadily, ensuring your Biceps, Rear Deltoids, Quadriceps remain activated without losing alignment."
"Dumbbell Rows";"Cardio";"None";"Core";"Static";"Rear Deltoids, Quadriceps, Glutes, Shoulders, Biceps";"Hold the position steadily, ensuring your Rear Deltoids, Quadriceps, Glutes, Shoulders, Biceps remain activated without losing alignment."
"Deadlifts";"Cardio";"Dumbbells";"Lower Body";"Push";"Triceps, Traps, Core";"Perform the movement by engaging your Triceps, Traps, Core and keeping proper form. Avoid overextending."
"Squats";"Warm-up";"Kettlebells";"Core";"Pull";"Forearms, Hip Flexors, Triceps, Chest, Abs";"Pull the kettlebells towards you using your Forearms, Hip Flexors, Triceps, Chest, Abs, and return to the starting position with control."
"Resistance Band Pull";"Cardio";"None";"Full Body";"Pull";"Quadriceps, Core, Triceps";"Pull the your body towards you using your Quadriceps, Core, Triceps, and return to the starting position with control."
"Resistance Band Pull";"Mobility";"Pull-Up Bar";"Core";"Pull";"Rear Deltoids, Lower Back, Glutes, Traps";"Pull the pull-up bar towards you using your Rear Deltoids, Lower Back, Glutes, Traps, and return to the starting position with control."
"Kettlebell Swings";"Warm-up";"Dumbbells";"Full Body";"Static";"Triceps, Biceps, Hip Flexors";"Hold the position steadily, ensuring your Triceps, Biceps, Hip Flexors remain activated without losing alignment."
"Mountain Climbers";"Strength";"Bodyweight";"Lower Body";"Hold";"Glutes, Shoulders, Hamstrings, Chest, Core";"Maintain a stable position, keeping your Glutes, Shoulders, Hamstrings, Chest, Core engaged throughout the duration."
"Resistance Band Pull";"Mobility";"Kettlebells";"Full Body";"Push";"Hamstrings, Lower Back, Glutes, Hip Flexors, Shoulders";"Perform the movement by engaging your Hamstrings, Lower Back, Glutes, Hip Flexors, Shoulders and keeping proper form. Avoid overextending."
"Kettlebell Swings";"Strength";"Bodyweight";"Full Body";"Push";"Chest, Rear Deltoids, Shoulders";"Perform the movement by engaging your Chest, Rear Deltoids, Shoulders and keeping proper form. Avoid overextending."
"Overhead Press";"Strength";"Cable Machine";"Full Body";"Hold";"Chest, Traps, Hip Flexors";"Maintain a stable position, keeping your Chest, Traps, Hip Flexors engaged throughout the duration."
"Bench Press";"Mobility";"None";"Full Body";"Hold";"Triceps, Abs, Chest, Shoulders";"Maintain a stable position, keeping your Triceps, Abs, Chest, Shoulders engaged throughout the duration."
"Push-Ups";"Cardio";"None";"Lower Body";"Hold";"Traps, Chest, Hamstrings";"Maintain a stable position, keeping your Traps, Chest, Hamstrings engaged throughout the duration."
"Leg Raises";"Mobility";"Dumbbells";"Full Body";"Push";"Hamstrings, Traps, Lower Back, Lats, Chest";"Perform the movement by engaging your Hamstrings, Traps, Lower Back, Lats, Chest and keeping proper form. Avoid overextending."
"Side Plank";"Mobility";"Dumbbells";"Lower Body";"Static";"Rear Deltoids, Forearms, Chest, Biceps";"Hold the position steadily, ensuring your Rear Deltoids, Forearms, Chest, Biceps remain activated without losing alignment."
"Plank";"Mobility";"Dumbbells";"Core";"Hold";"Hamstrings, Chest, Triceps";"Maintain a stable position, keeping your Hamstrings, Chest, Triceps engaged throughout the duration."
"Bicep Curls";"Mobility";"None";"Full Body";"Hold";"Quadriceps, Lower Back, Traps, Rear Deltoids";"Maintain a stable position, keeping your Quadriceps, Lower Back, Traps, Rear Deltoids engaged throughout the duration."
"Russian Twists";"Strength";"Kettlebells";"Lower Body";"Pull";"Forearms, Chest";"Pull the kettlebells towards you using your Forearms, Chest, and return to the starting position with control."
"Bench Press";"Cardio";"Bodyweight";"Full Body";"Hold";"Triceps, Forearms, Traps, Abs, Lower Back";"Maintain a stable position, keeping your Triceps, Forearms, Traps, Abs, Lower Back engaged throughout the duration."
"Russian Twists";"Warm-up";"Medicine Ball";"Upper Body";"Hold";"Chest, Core";"Maintain a stable position, keeping your Chest, Core engaged throughout the duration."
"Deadlifts";"Cardio";"Cable Machine";"Core";"Hold";"Glutes, Lower Back, Core, Lats";"Maintain a stable position, keeping your Glutes, Lower Back, Core, Lats engaged throughout the duration."
"Mountain Climbers";"Mobility";"Kettlebells";"Full Body";"Hold";"Chest, Lats";"Maintain a stable position, keeping your Chest, Lats engaged throughout the duration."
"Push-Ups";"Mobility";"Resistance Band";"Lower Body";"Push";"Shoulders, Core, Glutes";"Perform the movement by engaging your Shoulders, Core, Glutes and keeping proper form. Avoid overextending."
"Tricep Dips";"Warm-up";"Resistance Band";"Full Body";"Hold";"Forearms, Shoulders, Hip Flexors, Glutes, Chest";"Maintain a stable position, keeping your Forearms, Shoulders, Hip Flexors, Glutes, Chest engaged throughout the duration."
"Kettlebell Swings";"Cardio";"Barbell";"Core";"Pull";"Rear Deltoids, Triceps";"Pull the barbell towards you using your Rear Deltoids, Triceps, and return to the starting position with control."
"Lunges";"Mobility";"Dumbbells";"Upper Body";"Hold";"Glutes, Lower Back, Traps";"Maintain a stable position, keeping your Glutes, Lower Back, Traps engaged throughout the duration."
"Resistance Band Pull";"Strength";"Pull-Up Bar";"Lower Body";"Hold";"Triceps, Chest, Lower Back, Lats, Abs";"Maintain a stable position, keeping your Triceps, Chest, Lower Back, Lats, Abs engaged throughout the duration."
"Burpees";"Mobility";"Dumbbells";"Upper Body";"Hold";"Forearms, Triceps, Core, Lats, Traps";"Maintain a stable position, keeping your Forearms, Triceps, Core, Lats, Traps engaged throughout the duration."
"Plank";"Mobility";"Bodyweight";"Full Body";"Pull";"Quadriceps, Biceps, Rear Deltoids, Lower Back, Traps";"Pull the bodyweight towards you using your Quadriceps, Biceps, Rear Deltoids, Lower Back, Traps, and return to the starting position with control."
"Burpees";"Cardio";"Bodyweight";"Core";"Pull";"Core, Triceps, Hamstrings, Glutes, Hip Flexors";"Pull the bodyweight towards you using your Core, Triceps, Hamstrings, Glutes, Hip Flexors, and return to the starting position with control."
"Wall Sit";"Strength";"None";"Full Body";"Push";"Glutes, Forearms";"Perform the movement by engaging your Glutes, Forearms and keeping proper form. Avoid overextending."
"Kettlebell Swings";"Strength";"Dumbbells";"Lower Body";"Pull";"Quadriceps, Lower Back, Hip Flexors, Abs";"Pull the dumbbells towards you using your Quadriceps, Lower Back, Hip Flexors, Abs, and return to the starting position with control."
"Pull-Ups";"Mobility";"Medicine Ball";"Lower Body";"Static";"Triceps, Lats, Hip Flexors, Biceps, Quadriceps";"Hold the position steadily, ensuring your Triceps, Lats, Hip Flexors, Biceps, Quadriceps remain activated without losing alignment."
"Jumping Jacks";"Mobility";"Kettlebells";"Core";"Static";"Hip Flexors, Hamstrings";"Hold the position steadily, ensuring your Hip Flexors, Hamstrings remain activated without losing alignment."
"Jumping Jacks";"Mobility";"None";"Full Body";"Static";"Abs, Rear Deltoids, Chest, Hamstrings, Shoulders";"Hold the position steadily, ensuring your Abs, Rear Deltoids, Chest, Hamstrings, Shoulders remain activated without losing alignment."
"Leg Raises";"Cardio";"Medicine Ball";"Lower Body";"Push";"Triceps, Abs, Biceps, Shoulders, Rear Deltoids";"Perform the movement by engaging your Triceps, Abs, Biceps, Shoulders, Rear Deltoids and keeping proper form. Avoid overextending."
"Russian Twists";"Mobility";"Medicine Ball";"Lower Body";"Hold";"Core, Chest, Lower Back, Lats, Hamstrings";"Maintain a stable position, keeping your Core, Chest, Lower Back, Lats, Hamstrings engaged throughout the duration."
"Resistance Band Pull";"Warm-up";"Dumbbells";"Full Body";"Hold";"Quadriceps, Abs, Lats, Forearms, Glutes";"Maintain a stable position, keeping your Quadriceps, Abs, Lats, Forearms, Glutes engaged throughout the duration."
"Russian Twists";"Mobility";"Medicine Ball";"Lower Body";"Static";"Traps, Abs, Chest";"Hold the position steadily, ensuring your Traps, Abs, Chest remain activated without losing alignment."
